IS_Number,Title,Section,Year_Notified,ICS_Code,Status,Applicable_To,Scope_Description
IS 803-2:2005,Safety requireme,Electrotechnical,2005,28.035,Active,electric water hea,"Applicable to electric water heaters manufactured,"
IS 820:1994,General requirem,Electrotechnical,1994,76.058,Active,electrical insulati,Applicable to electrical insulating materials manufac
IS 592-4:1997,Methods of test f,Metallurgical Eng,1997,31.073,Under Revision,cast iron product,"Applicable to cast iron products manufactured, test"
IS 383-6:2017,Sampling and tes,Mechanical Engi,2017,53.08,Withdrawn,hand tools,"Applicable to hand tools manufactured, tested, or s"
IS 802-3:2006,Performance req,Electrotechnical,2006,84.039,Withdrawn,electric geysers,"Applicable to electric geysers manufactured, tested"
IS 2998-3:1990,Code of practice,Electronics and I,1990,43.071,Active,biometric devices,"Applicable to biometric devices manufactured, teste"
IS 1843-5:2010,Guidelines for gr,Water Resources,2010,65.026,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
IS 354-3:2018,Code of practice,Mechanical Engi,2018,68.02,Active,pumps for indust,Applicable to pumps for industrial use manufacture
IS 1936-6:2003,Sampling and tes,Chemical,2003,16.034,Withdrawn,petrochemical int,Applicable to petrochemical intermediates manufac
IS 3672-3:2004,General requirem,Transport Engine,2004,49.021,Under Revision,child safety seats,"Applicable to child safety seats manufactured, teste"
IS 4097-4:2019,Code of practice,"Petroleum, Coal",2019,83.054,Active,automotive fuels,"Applicable to automotive fuels manufactured, tested"
IS 3807:2016,Code of practice,Medical Equipme,2016,41.034,Under Revision,blood pressure m,Applicable to blood pressure monitors manufacture
IS 1278:1992,Methods of test f,Production and G,1992,52.072,Active,surface roughnes,Applicable to surface roughness measurement man
IS 4094:1996,Specification for,"Petroleum, Coal",1996,36.041,Active,industrial waxes,"Applicable to industrial waxes manufactured, tested"
IS 3018-5:2002,Safety requireme,Electronics and I,2002,31.025,Active,power adapters,"Applicable to power adapters manufactured, tested"
IS 374-5:2010,Methods of test f,Mechanical Engi,2010,78.038,Active,conveyor system,"Applicable to conveyor systems manufactured, test"
IS 3824-2:2007,Guidelines for de,Medical Equipme,2007,25.098,Active,dental equipmen,"Applicable to dental equipment manufactured, teste"
IS 457:2000,Guidelines for bu,Management and,2000,66.039,Withdrawn,business continu,Applicable to business continuity management man
IS 370:1992,Methods of test f,Mechanical Engi,1992,65.035,Active,valves,"Applicable to valves manufactured, tested, or sold i"
IS 1285-2:1999,Safety requireme,Production and G,1999,86.065,Withdrawn,industrial gloves,"Applicable to industrial gloves manufactured, tested"
IS 1844-6:2005,Guidelines for de,Water Resources,2005,30.043,Withdrawn,desalination equ,Applicable to desalination equipment manufactured
IS 2978-3:2012,Safety requireme,Electronics and I,2012,43.076,Active,biometric devices,"Applicable to biometric devices manufactured, teste"
IS 3799:1996,General requirem,Medical Equipme,1996,26.09,Active,surgical instrume,"Applicable to surgical instruments manufactured, te"
IS 436-6:1995,Classification an,Management and,1995,77.072,Under Revision,risk managemen,Applicable to risk management guidelines manufac
IS 349-6:2015,General requirem,Mechanical Engi,2015,68.068,Active,pumps for indust,Applicable to pumps for industrial use manufacture
IS 2980-3:2012,Specification for,Electronics and I,2012,79.035,Under Revision,audio and video,Applicable to audio and video equipment manufact
IS 3933-4:1991,Quality requirem,Textile,1991,86.03,Under Revision,textile dyeing me,"Applicable to textile dyeing methods manufactured,"
IS 4050-6:2021,Code of practice,Civil Engineering,2021,63.035,Active,bricks and blocks,"Applicable to bricks and blocks manufactured, teste"
IS 1846-6:1991,Methods of test f,Water Resources,1991,63.08,Active,water pipes and,Applicable to water pipes and fittings manufactured
IS 3003-4:2017,Guidelines for US,Electronics and I,2017,96.026,Active,USB cables and,Applicable to USB cables and connectors manufac
IS 3947-6:2019,Sampling and tes,Textile,2019,83.09,Active,synthetic fibres,"Applicable to synthetic fibres manufactured, tested,"
IS 1750-5:2020,General requirem,Food and Agricu,2020,96.072,Withdrawn,tea,"Applicable to tea manufactured, tested, or sold in In"
IS 1763-4:2011,Code of practice,Food and Agricu,2011,36.026,Active,pulses,"Applicable to pulses manufactured, tested, or sold"
IS 3805-5:2020,Code of practice,Medical Equipme,2020,33.035,Active,hospital beds,"Applicable to hospital beds manufactured, tested, o"
IS 3930-5:1992,General requirem,Textile,1992,99.092,Active,textile testing me,"Applicable to textile testing methods manufactured,"
IS 4057-5:1992,Quality requirem,Civil Engineering,1992,81.07,Withdrawn,waterproofing co,Applicable to waterproofing compounds manufactu
IS 3656-5:2002,Safety requireme,Transport Engine,2002,71.068,Active,bicycle compone,"Applicable to bicycle components manufactured, te"
IS 4072-4:1995,Methods of test f,Civil Engineering,1995,42.095,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 375-2:1993,Performance req,Mechanical Engi,1993,40.044,Active,industrial fastene,"Applicable to industrial fasteners manufactured, tes"
IS 1915-3:2010,Quality requirem,Chemical,2010,70.059,Under Revision,rubber products,"Applicable to rubber products manufactured, tested"
IS 3957-2:2013,Performance req,Textile,2013,11.024,Active,denim fabric,"Applicable to denim fabric manufactured, tested, or"
IS 355-2:2023,Quality requirem,Mechanical Engi,2023,40.057,Active,industrial fastene,"Applicable to industrial fasteners manufactured, tes"
IS 3837:1998,Safety requireme,Medical Equipme,1998,41.067,Under Revision,blood pressure m,Applicable to blood pressure monitors manufacture
IS 3812-6:1993,Code of practice,Medical Equipme,1993,69.058,Under Revision,wheelchairs,"Applicable to wheelchairs manufactured, tested, or"
IS 1811-5:2008,Classification an,Water Resources,2008,46.088,Active,irrigation equipm,"Applicable to irrigation equipment manufactured, te"
IS 3793:2010,Safety requireme,Medical Equipme,2010,67.097,Withdrawn,hospital furniture,"Applicable to hospital furniture manufactured, teste"
IS 365-2:1995,Methods of test f,Mechanical Engi,1995,40.064,Active,industrial fastene,"Applicable to industrial fasteners manufactured, tes"
IS 2972:2018,Specification for,Electronics and I,2018,39.083,Active,mobile phone ch,Applicable to mobile phone chargers manufactured
IS 3955-4:2009,Safety requireme,Textile,2009,94.058,Active,cotton yarn,"Applicable to cotton yarn manufactured, tested, or s"
IS 468-6:2017,Performance req,Management and,2017,50.049,Active,information secu,Applicable to information security management ma
IS 4125-6:2011,Sampling and tes,"Petroleum, Coal",2011,41.048,Under Revision,petroleum solven,"Applicable to petroleum solvents manufactured, tes"
IS 608-4:2021,Performance req,Metallurgical Eng,2021,13.04,Withdrawn,non-ferrous meta,Applicable to non-ferrous metal castings manufactu
IS 1830-4:1991,Guidelines for wa,Water Resources,1991,59.094,Active,water quality for,Applicable to water quality for drinking purposes ma
IS 1765-6:2019,Code of practice,Food and Agricu,2019,36.088,Withdrawn,carbonated beve,"Applicable to carbonated beverages manufactured,"
IS 1907-3:2004,Code of practice,Chemical,2004,11.044,Active,plastics and poly,"Applicable to plastics and polymers manufactured,"
IS 2985-6:1995,Classification an,Electronics and I,1995,79.094,Under Revision,audio and video,Applicable to audio and video equipment manufact
IS 4115-2:2021,Quality requirem,"Petroleum, Coal",2021,40.048,Under Revision,petroleum jelly,"Applicable to petroleum jelly manufactured, tested,"
IS 4073-5:2010,Methods of test f,Civil Engineering,2010,55.094,Active,prefabricated stru,Applicable to prefabricated structures manufactured
IS 347-2:1997,Specification for,Mechanical Engi,1997,92.059,Under Revision,industrial fans,"Applicable to industrial fans manufactured, tested, o"
IS 4080-6:1997,Safety requireme,Civil Engineering,1997,63.047,Active,bricks and blocks,"Applicable to bricks and blocks manufactured, teste"
IS 1826-2:2003,Quality requirem,Water Resources,2003,46.043,Active,irrigation equipm,"Applicable to irrigation equipment manufactured, te"
IS 4039:1996,Specification for,Civil Engineering,1996,63.051,Active,bitumen for roads,"Applicable to bitumen for roads manufactured, teste"
IS 1243-6:2009,Classification an,Production and G,2009,85.015,Active,fire extinguishers,"Applicable to fire extinguishers manufactured, teste"
IS 4089-6:1995,Classification an,"Petroleum, Coal",1995,24.069,Active,liquefied petroleu,Applicable to liquefied petroleum gas manufactured
IS 605:2012,Performance req,Metallurgical Eng,2012,25.092,Active,ferro alloys,"Applicable to ferro alloys manufactured, tested, or s"
IS 3916:2004,Specification for,Textile,2004,28.03,Active,protective clothin,"Applicable to protective clothing manufactured, test"
IS 367-2:2021,Quality requirem,Mechanical Engi,2021,92.094,Under Revision,industrial fans,"Applicable to industrial fans manufactured, tested, o"
IS 840:1998,Methods of test f,Electrotechnical,1998,76.098,Active,electrical insulati,Applicable to electrical insulating materials manufac
IS 3943-4:2003,Methods of test f,Textile,2003,86.079,Under Revision,textile dyeing me,"Applicable to textile dyeing methods manufactured,"
IS 593-5:2004,Methods of test f,Metallurgical Eng,2004,40.062,Withdrawn,galvanized steel,"Applicable to galvanized steel manufactured, tested"
IS 1256:2008,Quality requirem,Production and G,2008,22.062,Active,packaging mater,"Applicable to packaging materials manufactured, te"
IS 3669-4:2013,Code of practice,Transport Engine,2013,40.088,Active,automotive tyres,"Applicable to automotive tyres manufactured, teste"
IS 3914-3:2006,Performance req,Textile,2006,91.091,Withdrawn,jute products,"Applicable to jute products manufactured, tested, o"
IS 599-3:2008,Sampling and tes,Metallurgical Eng,2008,98.068,Active,copper wire rods,"Applicable to copper wire rods manufactured, teste"
IS 3838-6:2003,Sampling and tes,Medical Equipme,2003,81.036,Withdrawn,PPE kits,"Applicable to PPE kits manufactured, tested, or sol"
IS 4085-4:2007,Specification for,"Petroleum, Coal",2007,73.095,Under Revision,coal and coke,"Applicable to coal and coke manufactured, tested, o"
IS 3926:2016,General requirem,Textile,2016,28.053,Active,protective clothin,"Applicable to protective clothing manufactured, test"
IS 3677-4:2005,Quality requirem,Transport Engine,2005,34.023,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 1810-2:2011,Safety requireme,Water Resources,2011,43.064,Active,effluent treatmen,"Applicable to effluent treatment manufactured, teste"
IS 4061-3:2016,Quality requirem,Civil Engineering,2016,32.097,Under Revision,building lime,"Applicable to building lime manufactured, tested, or"
IS 1737-4:2001,Safety requireme,Food and Agricu,2001,44.074,Active,fruit and vegetab,Applicable to fruit and vegetable products manufac
IS 3809-3:2010,Code of practice,Medical Equipme,2010,63.081,Active,surgical gloves,"Applicable to surgical gloves manufactured, tested,"
IS 1903-5:2014,Code of practice,Chemical,2014,29.062,Active,detergents and s,"Applicable to detergents and soaps manufactured,"
IS 1895-3:1992,Specification for,Chemical,1992,70.04,Under Revision,rubber products,"Applicable to rubber products manufactured, tested"
IS 3680:2008,Quality requirem,Transport Engine,2008,28.07,Active,automotive glass,"Applicable to automotive glass manufactured, teste"
IS 1280-3:2014,Methods of test f,Production and G,2014,60.064,Withdrawn,industrial packag,Applicable to industrial packaging crates manufactu
IS 1274-3:2022,Methods of test f,Production and G,2022,27.064,Under Revision,storage racking s,Applicable to storage racking systems manufacture
IS 4040-6:1995,Classification an,Civil Engineering,1995,63.058,Active,bricks and blocks,"Applicable to bricks and blocks manufactured, teste"
IS 3694-5:1990,Methods of test f,Transport Engine,1990,26.038,Active,vehicle wiring ha,"Applicable to vehicle wiring harness manufactured,"
IS 367-6:1999,Guidelines for we,Mechanical Engi,1999,72.036,Under Revision,welding electrode,"Applicable to welding electrodes manufactured, tes"
IS 1897-5:2008,Specification for,Chemical,2008,70.08,Active,surface coatings,"Applicable to surface coatings manufactured, tested"
IS 3954-3:1994,Methods of test f,Textile,1994,91.054,Withdrawn,jute products,"Applicable to jute products manufactured, tested, o"
IS 1736-5:2002,Performance req,Food and Agricu,2002,44.092,Active,honey,"Applicable to honey manufactured, tested, or sold i"
IS 1766:1994,Methods of test f,Food and Agricu,1994,51.011,Active,packaged drinkin,Applicable to packaged drinking water manufacture
IS 1807-5:2002,Safety requireme,Water Resources,2002,78.063,Active,canal lining meth,"Applicable to canal lining methods manufactured, te"
IS 600-6:1991,Methods of test f,Metallurgical Eng,1991,34.091,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 4042-6:2015,Safety requireme,Civil Engineering,2015,56.071,Withdrawn,doors and windo,"Applicable to doors and windows manufactured, tes"
IS 561:1990,Performance req,Metallurgical Eng,1990,93.053,Active,sheet metal prod,"Applicable to sheet metal products manufactured, t"
IS 3008-3:2022,Guidelines for bio,Electronics and I,2022,43.069,Active,biometric devices,"Applicable to biometric devices manufactured, teste"
IS 373-6:2011,Guidelines for ha,Mechanical Engi,2011,53.027,Withdrawn,hand tools,"Applicable to hand tools manufactured, tested, or s"
IS 1265-4:2017,Quality requirem,Production and G,2017,52.085,Withdrawn,industrial noise c,"Applicable to industrial noise control manufactured,"
IS 381-4:2001,Sampling and tes,Mechanical Engi,2001,94.049,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 3670-3:2004,Classification an,Transport Engine,2004,53.057,Active,commercial vehic,Applicable to commercial vehicle bodies manufactu
IS 3934-5:2012,Quality requirem,Textile,2012,42.042,Withdrawn,geotextiles,"Applicable to geotextiles manufactured, tested, or s"
IS 586-4:1997,Code of practice,Metallurgical Eng,1997,93.099,Active,sheet metal prod,"Applicable to sheet metal products manufactured, t"
IS 1817:2016,Specification for,Water Resources,2016,98.036,Active,dam safety inspe,"Applicable to dam safety inspection manufactured,"
IS 3928-5:2006,Classification an,Textile,2006,74.042,Under Revision,technical textiles,"Applicable to technical textiles manufactured, teste"
IS 559:2018,Specification for,Metallurgical Eng,2018,67.068,Active,steel bars for con,"Applicable to steel bars for concrete manufactured,"
IS 4129-6:2003,Safety requireme,"Petroleum, Coal",2003,24.063,Active,liquefied petroleu,Applicable to liquefied petroleum gas manufactured
IS 3698:1998,Sampling and tes,Transport Engine,1998,71.085,Withdrawn,automotive batte,"Applicable to automotive batteries manufactured, te"
IS 2973-2:1999,Specification for,Electronics and I,1999,31.057,Active,power adapters,"Applicable to power adapters manufactured, tested"
IS 444-4:1991,Code of practice,Management and,1991,35.074,Active,laboratory accred,Applicable to laboratory accreditation requirements
IS 468-2:2013,Sampling and tes,Management and,2013,82.078,Active,social accountab,Applicable to social accountability requirements ma
IS 3944-3:2016,Quality requirem,Textile,2016,91.096,Withdrawn,jute products,"Applicable to jute products manufactured, tested, o"
IS 2993-2:2003,Quality requirem,Electronics and I,2003,31.087,Active,power adapters,"Applicable to power adapters manufactured, tested"
IS 814-3:2004,Classification an,Electrotechnical,2004,24.082,Active,capacitors,"Applicable to capacitors manufactured, tested, or s"
IS 1782:2018,Performance req,Food and Agricu,2018,44.025,Active,fruit and vegetab,Applicable to fruit and vegetable products manufac
IS 3021-2:2019,Safety requireme,Electronics and I,2019,18.085,Withdrawn,set top boxes,"Applicable to set top boxes manufactured, tested, o"
IS 1272:2000,Methods of test f,Production and G,2000,98.015,Active,ergonomic desig,Applicable to ergonomic design of workstations ma
IS 833-4:2017,Sampling and tes,Electrotechnical,2017,77.074,Active,household electr,Applicable to household electrical appliances manu
IS 2981-6:1995,Safety requireme,Electronics and I,1995,53.041,Withdrawn,data storage dev,"Applicable to data storage devices manufactured, t"
IS 1277-4:2023,Sampling and tes,Production and G,2023,98.047,Active,ergonomic desig,Applicable to ergonomic design of workstations ma
IS 346-3:2012,General requirem,Mechanical Engi,2012,71.092,Active,bearings,"Applicable to bearings manufactured, tested, or sol"
IS 836-5:2010,Guidelines for LE,Electrotechnical,2010,80.047,Under Revision,LED luminaires,"Applicable to LED luminaires manufactured, tested"
IS 4109-4:1997,Code of practice,"Petroleum, Coal",1997,36.073,Active,industrial waxes,"Applicable to industrial waxes manufactured, tested"
IS 3697-4:2009,Performance req,Transport Engine,2009,34.083,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 1825-3:2018,Code of practice,Water Resources,2018,71.047,Active,water storage tan,"Applicable to water storage tanks manufactured, te"
IS 3691-2:2007,Methods of test f,Transport Engine,2007,71.078,Active,bicycle compone,"Applicable to bicycle components manufactured, te"
IS 4113-2:2001,Methods of test f,"Petroleum, Coal",2001,73.028,Active,lubricants for eng,"Applicable to lubricants for engines manufactured,"
IS 4058-6:2013,Quality requirem,Civil Engineering,2013,37.077,Active,road aggregates,"Applicable to road aggregates manufactured, tested"
IS 2999-6:1993,Guidelines for pr,Electronics and I,1993,74.027,Active,printed circuit bo,"Applicable to printed circuit boards manufactured, t"
IS 362:2014,Guidelines for ge,Mechanical Engi,2014,69.043,Under Revision,gears and gearbo,"Applicable to gears and gearboxes manufactured, t"
IS 1277-6:1997,Methods of test f,Production and G,1997,99.061,Active,dimensional toler,Applicable to dimensional tolerances manufactured
IS 365-6:1999,Quality requirem,Mechanical Engi,1999,39.015,Active,cranes and lifting,Applicable to cranes and lifting equipment manufac
IS 375-6:1997,Methods of test f,Mechanical Engi,1997,39.082,Active,cranes and lifting,Applicable to cranes and lifting equipment manufac
IS 1818-6:2001,Classification an,Water Resources,2001,64.057,Under Revision,water pumps for,Applicable to water pumps for irrigation manufactur
IS 4077:1998,Sampling and tes,Civil Engineering,1998,42.072,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 4124-5:2010,Sampling and tes,"Petroleum, Coal",2010,98.077,Active,furnace oil,"Applicable to furnace oil manufactured, tested, or s"
IS 1835:2014,Methods of test f,Water Resources,2014,59.06,Active,water quality for,Applicable to water quality for drinking purposes ma
IS 3934:2008,Code of practice,Textile,2008,36.035,Withdrawn,non-woven fabric,"Applicable to non-woven fabrics manufactured, test"
IS 578-4:1991,General requirem,Metallurgical Eng,1991,13.041,Withdrawn,non-ferrous meta,Applicable to non-ferrous metal castings manufactu
IS 1274-3:1994,Methods of test f,Production and G,1994,27.064,Under Revision,storage racking s,Applicable to storage racking systems manufacture
IS 4050-2:2017,General requirem,Civil Engineering,2017,86.043,Active,reinforcement ba,"Applicable to reinforcement bars manufactured, tes"
IS 586-6:1999,Guidelines for sta,Metallurgical Eng,1999,30.045,Active,stainless steel sh,"Applicable to stainless steel sheets manufactured,"
IS 1831-3:2010,Code of practice,Water Resources,2010,63.07,Active,water pipes and,Applicable to water pipes and fittings manufactured
IS 348-3:2012,Specification for,Mechanical Engi,2012,53.055,Withdrawn,hand tools,"Applicable to hand tools manufactured, tested, or s"
IS 578-6:2021,Classification an,Metallurgical Eng,2021,98.015,Withdrawn,forged componen,"Applicable to forged components manufactured, tes"
IS 3667-4:2019,General requirem,Transport Engine,2019,34.076,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 2979-6:2023,Classification an,Electronics and I,2023,74.028,Active,printed circuit bo,"Applicable to printed circuit boards manufactured, t"
IS 344-5:2014,Specification for,Mechanical Engi,2014,78.042,Active,conveyor system,"Applicable to conveyor systems manufactured, test"
IS 1907-3:1990,Code of practice,Chemical,1990,11.044,Active,plastics and poly,"Applicable to plastics and polymers manufactured,"
IS 3807:2002,Code of practice,Medical Equipme,2002,41.034,Under Revision,blood pressure m,Applicable to blood pressure monitors manufacture
IS 1820-6:2021,General requirem,Water Resources,2021,71.049,Active,water storage tan,"Applicable to water storage tanks manufactured, te"
IS 3657-2:2005,Performance req,Transport Engine,2005,51.064,Under Revision,marine equipmen,"Applicable to marine equipment manufactured, test"
IS 3810-2:2003,Quality requirem,Medical Equipme,2003,33.094,Active,hospital beds,"Applicable to hospital beds manufactured, tested, o"
IS 3802-2:1997,Specification for,Medical Equipme,1997,90.019,Under Revision,nebulizers,"Applicable to nebulizers manufactured, tested, or s"
IS 3957-6:2017,Safety requireme,Textile,2017,83.034,Active,synthetic fibres,"Applicable to synthetic fibres manufactured, tested,"
IS 575-5:2006,Code of practice,Metallurgical Eng,2006,68.016,Active,aluminium alloys,"Applicable to aluminium alloys manufactured, teste"
IS 1274:1992,Sampling and tes,Production and G,1992,25.06,Under Revision,ladders,"Applicable to ladders manufactured, tested, or sold"
IS 348-5:2020,General requirem,Mechanical Engi,2020,48.091,Withdrawn,hydraulic cylinde,"Applicable to hydraulic cylinders manufactured, tes"
IS 4070-6:1991,Sampling and tes,Civil Engineering,1991,63.054,Active,bricks and blocks,"Applicable to bricks and blocks manufactured, teste"
IS 1239-2:1991,Performance req,Production and G,1991,30.057,Under Revision,engineering draw,Applicable to engineering drawing practices manufa
IS 1890-4:2007,Specification for,Chemical,2007,21.01,Under Revision,fertilizers,"Applicable to fertilizers manufactured, tested, or so"
IS 582-2:1995,General requirem,Metallurgical Eng,1995,59.02,Under Revision,metal coatings,"Applicable to metal coatings manufactured, tested,"
IS 1933-5:1996,Safety requireme,Chemical,1996,29.04,Active,detergents and s,"Applicable to detergents and soaps manufactured,"
IS 3791:2004,Performance req,Medical Equipme,2004,93.047,Active,orthopedic impla,"Applicable to orthopedic implants manufactured, te"
IS 4073:2012,Performance req,Civil Engineering,2012,11.021,Active,cement,"Applicable to cement manufactured, tested, or sold"
IS 335-6:2017,Performance req,Mechanical Engi,2017,39.045,Active,cranes and lifting,Applicable to cranes and lifting equipment manufac
IS 3937-6:1999,Guidelines for sy,Textile,1999,83.099,Active,synthetic fibres,"Applicable to synthetic fibres manufactured, tested,"
IS 4130-3:2020,Performance req,"Petroleum, Coal",2020,41.052,Under Revision,petroleum solven,"Applicable to petroleum solvents manufactured, tes"
IS 1260-5:2012,Quality requirem,Production and G,2012,86.019,Withdrawn,industrial gloves,"Applicable to industrial gloves manufactured, tested"
IS 4094-3:2012,General requirem,"Petroleum, Coal",2012,24.028,Active,liquefied petroleu,Applicable to liquefied petroleum gas manufactured
IS 3803:2002,Classification an,Medical Equipme,2002,67.023,Withdrawn,hospital furniture,"Applicable to hospital furniture manufactured, teste"
IS 2980-5:2014,Safety requireme,Electronics and I,2014,55.026,Under Revision,electronic point o,Applicable to electronic point of sale terminals man
IS 3011-2:2021,Sampling and tes,Electronics and I,2021,18.063,Withdrawn,set top boxes,"Applicable to set top boxes manufactured, tested, o"
IS 586-4:2017,Code of practice,Metallurgical Eng,2017,93.099,Active,sheet metal prod,"Applicable to sheet metal products manufactured, t"
IS 4106-3:1996,General requirem,"Petroleum, Coal",1996,47.033,Withdrawn,biodiesel,"Applicable to biodiesel manufactured, tested, or sol"
IS 1900-4:2019,General requirem,Chemical,2019,21.057,Under Revision,fertilizers,"Applicable to fertilizers manufactured, tested, or so"
IS 430-6:1995,Classification an,Management and,1995,46.082,Active,occupational hea,Applicable to occupational health and safety manag
IS 1838-4:2023,Methods of test f,Water Resources,2023,75.056,Under Revision,sewage treatmen,Applicable to sewage treatment methods manufact
IS 1757-6:2021,General requirem,Food and Agricu,2021,62.017,Active,wheat flour,"Applicable to wheat flour manufactured, tested, or s"
IS 1779-4:2015,Performance req,Food and Agricu,2015,63.041,Under Revision,milk and milk pro,"Applicable to milk and milk products manufactured,"
IS 2996-5:2012,Quality requirem,Electronics and I,2012,18.075,Withdrawn,set top boxes,"Applicable to set top boxes manufactured, tested, o"
IS 828-3:2016,Guidelines for tra,Electrotechnical,2016,17.084,Active,transformers,"Applicable to transformers manufactured, tested, or"
IS 1755-2:2017,Code of practice,Food and Agricu,2017,96.086,Withdrawn,tea,"Applicable to tea manufactured, tested, or sold in In"
IS 822:1994,Code of practice,Electrotechnical,1994,96.013,Withdrawn,batteries and cel,"Applicable to batteries and cells manufactured, test"
IS 1899-3:2018,General requirem,Chemical,2018,37.079,Active,industrial adhesiv,"Applicable to industrial adhesives manufactured, te"
IS 1935-5:1996,Sampling and tes,Chemical,1996,85.028,Under Revision,leather chemicals,"Applicable to leather chemicals manufactured, teste"
IS 3919-2:1991,Classification an,Textile,1991,42.017,Withdrawn,geotextiles,"Applicable to geotextiles manufactured, tested, or s"
IS 3826-4:2023,Guidelines for or,Medical Equipme,2023,93.048,Active,orthopedic impla,"Applicable to orthopedic implants manufactured, te"
IS 1258:2008,General requirem,Production and G,2008,52.046,Active,surface roughnes,Applicable to surface roughness measurement man
IS 1845-5:2004,Methods of test f,Water Resources,2004,43.031,Active,effluent treatmen,"Applicable to effluent treatment manufactured, teste"
IS 360-3:2016,Code of practice,Mechanical Engi,2016,39.069,Active,cranes and lifting,Applicable to cranes and lifting equipment manufac
IS 4098-5:2000,Code of practice,"Petroleum, Coal",2000,73.029,Active,lubricants for eng,"Applicable to lubricants for engines manufactured,"
IS 459-5:1990,Sampling and tes,Management and,1990,18.014,Active,environmental m,Applicable to environmental management systems
IS 3918-5:2008,Safety requireme,Textile,2008,74.092,Under Revision,technical textiles,"Applicable to technical textiles manufactured, teste"
IS 1756-3:2004,Code of practice,Food and Agricu,2004,50.089,Active,biscuits and conf,Applicable to biscuits and confectionery manufactu
IS 4041:1990,Classification an,Civil Engineering,1990,72.099,Under Revision,concrete mix des,"Applicable to concrete mix design manufactured, te"
IS 1250-5:2014,General requirem,Production and G,2014,86.091,Withdrawn,industrial gloves,"Applicable to industrial gloves manufactured, tested"
IS 1851:1998,Performance req,Water Resources,1998,53.024,Active,flood control stru,Applicable to flood control structures manufactured
IS 4065:2014,Quality requirem,Civil Engineering,2014,31.055,Active,foundation engin,Applicable to foundation engineering manufactured
IS 4129-6:2017,Safety requireme,"Petroleum, Coal",2017,24.063,Active,liquefied petroleu,Applicable to liquefied petroleum gas manufactured
IS 813-2:2017,Classification an,Electrotechnical,2017,28.056,Active,electric water hea,"Applicable to electric water heaters manufactured,"
IS 1773-4:2023,Guidelines for pu,Food and Agricu,2023,36.09,Active,pulses,"Applicable to pulses manufactured, tested, or sold"
IS 3831-3:2008,Performance req,Medical Equipme,2008,99.072,Active,disposable syring,"Applicable to disposable syringes manufactured, te"
IS 1812-2:1991,Specification for,Water Resources,1991,78.031,Active,canal lining meth,"Applicable to canal lining methods manufactured, te"
IS 1809-3:1992,Performance req,Water Resources,1992,30.093,Withdrawn,desalination equ,Applicable to desalination equipment manufactured
IS 1253-2:2003,General requirem,Production and G,2003,22.062,Active,material handling,Applicable to material handling equipment manufac
IS 3812-6:2021,Code of practice,Medical Equipme,2021,69.058,Under Revision,wheelchairs,"Applicable to wheelchairs manufactured, tested, or"
IS 588-4:2017,Quality requirem,Metallurgical Eng,2017,13.099,Withdrawn,non-ferrous meta,Applicable to non-ferrous metal castings manufactu
IS 1765-2:2015,Guidelines for te,Food and Agricu,2015,96.088,Withdrawn,tea,"Applicable to tea manufactured, tested, or sold in In"
IS 4051:2022,Code of practice,Civil Engineering,2022,72.027,Under Revision,concrete mix des,"Applicable to concrete mix design manufactured, te"
IS 1894-6:2023,Classification an,Chemical,2023,37.066,Active,industrial adhesiv,"Applicable to industrial adhesives manufactured, te"
IS 3665-2:2017,General requirem,Transport Engine,2017,79.094,Active,vehicle safety be,"Applicable to vehicle safety belts manufactured, tes"
IS 3700-3:2014,Sampling and tes,Transport Engine,2014,53.094,Active,commercial vehic,Applicable to commercial vehicle bodies manufactu
IS 2996-5:1992,Quality requirem,Electronics and I,1992,18.075,Withdrawn,set top boxes,"Applicable to set top boxes manufactured, tested, o"
IS 1917-5:2012,Quality requirem,Chemical,2012,70.038,Active,surface coatings,"Applicable to surface coatings manufactured, tested"
IS 4078-4:2015,Safety requireme,Civil Engineering,2015,11.023,Active,cement,"Applicable to cement manufactured, tested, or sold"
IS 3944:2000,Guidelines for no,Textile,2000,36.014,Withdrawn,non-woven fabric,"Applicable to non-woven fabrics manufactured, test"
IS 3959-6:2003,Sampling and tes,Textile,2003,91.011,Withdrawn,jute products,"Applicable to jute products manufactured, tested, o"
IS 1828-6:1993,Code of practice,Water Resources,1993,64.011,Under Revision,water pumps for,Applicable to water pumps for irrigation manufactur
IS 336-5:2008,Safety requireme,Mechanical Engi,2008,18.05,Active,compressors,"Applicable to compressors manufactured, tested, o"
IS 3820-2:2021,Methods of test f,Medical Equipme,2021,33.01,Active,hospital beds,"Applicable to hospital beds manufactured, tested, o"
IS 441-5:2006,Classification an,Management and,2006,74.015,Under Revision,hazard analysis a,Applicable to hazard analysis and critical control po
IS 376-5:2010,Sampling and tes,Mechanical Engi,2010,18.068,Active,compressors,"Applicable to compressors manufactured, tested, o"
